"","TNZ_1_T","WS_2_T","WT_10_T","WT_11_T","WT_12_T","WT_13_T","WT_14_T","WT_15_T","WT_16_T","WT_17_T","WT_18_T","WT_19_T","WT_1_T","WT_21_T","WT_22_T","WT_23_T","WT_24_T","WT_25_T","WT_26_T","WT_27_T","WT_28_T","WT_29_T","WT_2_T","WT_30_T","WT_34_T","WT_35_T","WT_36_T","WT_38_T","WT_39_T","WT_40_T","WT_41_T","WT_42_T","WT_44_T","WT_45_T","WT_46_T","WT_47_T","WT_48_T","WT_49_T","WT_50_T","WT_51_T","WT_52_T","WT_55_T","WT_56_T","WT_57_T","WT_58_T","WT_59_T","WT_5_T","WT_61_T","WT_62_T","WT_63_T","WT_64_T","WT_65_T","WT_66_T","WT_68_T","WT_69_T","WT_71_T","WT_73_T","WT_74_T","WT_76_T","WT_77_T","WT_78_T","WT_9_T"
"AT1G01120",-1.26426451933716,0.839005041141116,-0.347927781000134,1.21320347171654,1.06182104721068,-0.318124366175543,0.461495120029631,0.121357734968028,0.47852564278654,1.56232918823317,2.86942180982595,1.09540902264792,0.620919735837363,-1.20134619915191,0.193264386608312,1.35938212538001,0.886785118875778,0.585912550170383,0.302070504221898,-0.113758093092634,1.71749617335168,0.548540014120499,0.023905299192382,0.540497822818626,-0.0224555683125375,-0.658734821313726,1.54908322608891,-0.92412713427556,-1.22074207229173,1.46724210284043,1.09872051318398,-1.05232912502896,-0.217833509940412,-0.325693487400836,-0.827147768576494,-0.335627959009033,-1.29406793416175,-1.26379144926058,-1.66921250489033,-0.291159371810437,-0.882023897459868,-0.0309708296909921,-1.19898084876901,0.588277900553288,-1.4260544855278,-1.57459848957417,0.550905364503403,-1.88919009050041,1.35133993407813,-1.15120077103435,0.2798362106226,0.191845176378569,-0.183299394350013,-0.604804832583514,-0.591558870439251,1.06939016843597,0.671065163954929,-0.968122651397575,-0.751456556323565,-0.418888292487256,0.00261714574624542,-0.282171040355402
"AT1G01140",1.30997001154889,-0.374391969186081,0.986054246022937,-0.473435443644979,-1.15739604085171,0.478378575054371,-1.33928720149321,-0.406160630804972,-1.63828636967101,-0.997306902889843,0.0765984428154436,-0.15574882745606,-0.465960464440534,-0.284069303799035,-1.49252427518433,-1.21781878942098,-0.0990635684890179,-0.133323889842725,-1.31125602947654,-0.844692744132422,-1.21470421475246,-0.637884986142772,0.537555493756227,0.130169127113967,-1.85506076659992,0.176887747141749,-0.429208483352012,-0.947473708193542,1.07762274127739,1.25764515711778,0.999135459630716,0.972973032415158,-0.957440347132802,-0.388719012661267,0.0466985259976627,0.534440919087709,0.146987830323968,2.35023795083418,1.67126067309708,-0.383112778257934,1.08634355034924,-0.459731315103496,-0.252300642180143,0.761804869889582,0.702627951187725,-0.353835776373857,-1.1717230843269,1.37537607958779,0.328878990965467,0.607944881264753,0.695775886916983,-0.780532505960934,-0.624180857601289,0.642828117552163,2.97689037414016,-0.574970577838693,-0.117751016500131,2.07677829493823,-0.161355061859394,0.0255194182517346,0.567455410574008,-0.900132173232057
"AT1G01300",1.38456553693214,0.533883507734944,0.0243989445961883,2.36192521612935,0.98419019058172,0.538506779632755,1.66103719642123,0.833471526713087,0.28515147963272,0.949053324158358,-0.192894834600921,0.259261157004979,1.41138051393944,-1.07224114956454,0.508917839486765,0.795560697151038,-0.212312576571727,0.0308715252531236,0.482102862479462,-0.000566723651989858,0.887101480727693,0.476554936202089,-0.0560459864257202,-0.805016033871078,-0.0403268619731631,-0.0366282444549145,1.30596991466936,0.00590585700494535,-0.940940227666716,0.387788115764121,1.45206530664018,-0.876214421097365,0.151076594596206,0.551451940946625,-0.362106586060798,0.0946726774429137,-1.67141718752083,-0.982549674747014,-1.77405382365223,0.754875904450303,-1.11292594226528,-0.300154742630133,-2.36860658971071,-0.431455664527961,-1.63350635795878,-1.16285727876164,0.150151940216643,-1.82953308642596,0.495972678172895,-1.41436327000255,-0.272415111243268,-0.199367415257856,-0.168853820732305,1.01747774824596,-1.38477432985656,0.97956691868391,0.564397102260496,-0.777276402484212,-1.43193170321423,-1.14713815430908,1.30596991466936,1.03319687269852
"AT1G01430",0.0233388172911551,-0.458330530726024,0.259176921299567,0.924720045323305,-0.382382666723316,0.0633113772925814,1.0816123433289,-0.563258500729768,0.735849699316568,-1.22380505475333,-1.68748675076987,0.485021885307623,0.212209163297892,-1.19982151875247,0.132264043295041,-0.265462928719146,0.182229743296823,0.452044523306447,1.3534257513386,0.287157713300565,0.41207196330502,1.31645113333728,0.980681629325301,0.650908009313539,0.97668437332516,-0.24847459071854,1.10559587932976,-0.675181668733759,-0.201506832716865,0.71286547731575,2.44567595337756,-0.619220084731763,-0.153539760715153,1.01265967732644,-0.62221802673187,-0.261465672719003,-1.74844490477204,-0.731143252735755,0.629922415312791,0.482023943307516,-1.0659134427477,0.507006793308407,-1.56357181476545,-0.903025260741886,-1.58455740876619,-0.834072594739427,-0.350404618722175,-1.40667951675985,0.793809911318637,-0.484312694726952,-1.20681671675272,0.0852962852933655,1.98599151336116,1.67420554535004,-1.19282632075222,1.05563017932797,1.47933931534309,-1.25478378875443,-1.66150458676894,-0.97097861274431,-0.263464300719075,1.28547239933617
"AT1G01470",0.396162623839425,-0.0852389872168652,1.33661258780339,1.04578978591108,-0.00458290111360937,0.550100525316495,-0.711360661338425,-0.351864963278199,0.680532938843475,1.75348932997707,0.797138594752754,-0.220741211870335,-0.771737502935719,-1.03698080323528,-0.143080923250914,1.13635504830702,-1.09021382006343,-0.117040529737577,-0.257382119557242,-0.122571232784658,0.129306201817795,-0.270978431214649,-1.00057034150867,-0.116118745896397,0.770176417398236,-0.00619602283567433,-0.257382119557242,0.60725112346966,-0.0923828119860107,3.4677768286117,1.20871507983965,0.188069921693025,0.170095136790013,1.04095042074488,0.806586879124848,1.03887640710223,-0.543596002243653,-0.528156122903887,0.397545299601195,0.506546238820737,-1.86082511128997,0.872263977808929,-1.91521035791959,0.810274014489569,-1.42274734076914,-2.40260356394355,-0.847554223872779,-1.14552085053424,0.597802839097563,-1.06509521039127,-0.0244012536989805,0.324493930187674,-1.4294302736177,0.411832949139485,0.577754040551898,-1.80459629697798,1.14949046804383,0.140137161951661,-0.732561689685567,-0.457639659053612,0.728235252624543,-0.803999937377022
"AT1G01540",-1.46236430439615,0.339085680100134,-0.139169088959432,0.646788971337566,0.579989642523898,-0.22160230324013,1.28280385738261,-0.0553146123635494,0.909011868489097,0.643235815549605,0.455629189945259,1.21884705319931,0.6894268407931,-1.39556497558248,0.453497296472482,0.268733195498504,0.686584316162731,0.609836151142771,0.0868116191548951,1.03195105875255,1.07956334631123,0.688005578477916,1.52939286906711,0.790336465171195,0.899773663440398,-1.037406872156,0.526692305704481,-1.38987992632174,-1.39840750021285,1.13001815850028,0.464156763836365,-1.52774237089463,0.710035144363274,0.894799245337252,0.22893785067334,0.792468358643972,-1.29039156425883,-1.55687824835592,-1.49292144417262,1.14280951933694,-1.49150018185743,0.942411532895931,-1.50855532963965,0.177772407326699,-1.14115902116447,-1.47231314060244,0.67023979953811,-1.50429154269409,0.550853765062617,-1.37424604085471,0.105998660409885,0.319188007687552,0.339796311257726,0.47197370656988,-1.43322842693487,0.694401258896245,0.669529168380517,-1.36998225390916,-1.5675377157198,-1.37922045895786,0.567198281687238,0.921092598168164
"AT1G01620",-0.505079400339949,-1.3373550262735,-0.707624353553867,-0.981366926685405,-0.41522309382323,-0.882426785903333,-0.989468724813962,-1.11762444066568,-0.84191779526055,-1.31182208671684,-1.43899576643176,-0.400738060805507,-1.55438501250514,0.558220226774569,-1.64350479191927,-0.805336949164946,0.709944809909358,-0.536995574785779,0.903651437892123,-0.93742080956384,-0.35728296175234,0.898741257208149,0.255262078573388,-0.626360863234102,-0.619486610276539,-0.766055503693156,-0.874570496808975,1.03598080732522,0.240531536521466,1.60286116728999,-0.326103314409106,0.0971542605494328,0.499789076635281,-0.545342881948535,0.302399813139536,-0.101217039083108,1.55474139658704,0.886711314532414,1.34507668138136,0.281531545232647,2.38529845928121,0.387591448006481,2.36369366427172,-0.599845887540643,1.12043591508956,-0.0786302079368286,-1.54972034085537,-0.768510594035142,0.258944714086368,2.26671759576324,-0.25981587517546,0.017854842503256,1.68019651306257,0.837363998658477,1.02272331947849,-0.25613323966248,0.179154277971794,1.09195686712252,-0.174378731274316,0.6834298342159,-0.753534542949022,-0.403684169215891
"AT1G01630",3.39350300063884,-1.11578643507016,-0.217476176593711,0.750519644952137,0.0232557685551257,-0.0476968047519,0.251317611327707,0.332406266535737,0.00171659451549279,-0.614050380970478,0.584541303823202,-0.0502308252271504,0.0131196866541223,0.513588730516177,0.304532041307977,-0.0717699992667834,-0.162994736375816,-1.27669673524859,-1.64159568368472,0.352678430337744,1.73245257911187,0.0638000961591404,-0.522825643861446,-0.525359664336697,0.190501119921686,2.11635668111238,0.0359258709313805,3.50499990154988,1.66403402628009,-0.615317391208104,-0.321371016078998,0.484447495050791,-0.31250194441562,-0.601380278594224,-1.34638229831799,-1.35018332903087,0.618750580239089,-0.446805029603918,-0.378386476772144,-1.05116891295126,0.639022744041097,-0.38218750748502,0.329872246060486,-1.50475857802117,-0.417663794138533,-0.251685453009598,-0.302365862514616,0.0688681371096421,-0.311234934177995,-0.711610169267638,-0.924467889188715,-1.38312559520913,-0.505087500534689,-1.03976582081263,0.669430989744108,0.132218648990915,0.526258832892431,1.41189898899262,-0.0806390709301616,0.887356750615686,-0.49368440839606,-0.61911842192098
"AT1G01640",-1.95629059937466,-1.66015958117961,-0.947945739951023,0.491475918110968,0.236578332829157,0.112878034089455,1.1362168691179,1.43234788731295,1.23367771054918,2.3469803992065,1.59353312506468,-0.648066227854775,-1.00792164237027,-0.468138520597026,-1.35653157518216,-1.85882975794338,1.22992921664798,0.120375021891861,-1.87007523964699,-0.861730380223351,-0.438150569387401,0.000423217053361921,0.199093393817126,-0.310701776746495,-0.902963813136585,1.32364156417806,0.109129540188252,1.30864758857324,-0.771766526594477,1.31989307027685,1.33863553978287,-0.561850868127103,-0.321947258450105,1.42485089951054,0.607679229048264,0.61517621685067,-0.681802672965602,-1.09413700209794,1.04625301548903,-0.0895406365755126,1.15121084472271,0.262817790137579,-1.29655567276291,-0.419408099881386,0.72388253998556,0.798852418009622,-0.633072252249963,-0.486880990103041,0.00792020485576796,0.330290680359234,0.412757546185703,0.851331332626466,0.727631033886763,0.0603991194726116,-0.651814721755978,0.896313259440902,0.112878034089455,0.105381046287048,-1.48023187392186,-1.06789754478952,-0.790508996100493,-1.03416109967869
"AT1G01720",-0.494021714359905,-0.142735515049027,0.879406957460112,-1.17571767599404,0.0290936201567514,0.469104676665006,-0.767021274967216,-0.452670310326739,-1.36641589847709,1.02955671579413,1.33507534170908,-0.118647318524853,0.0917229311196053,-1.12593540317742,-0.814796198073496,-1.02797673731244,-0.393654228842511,0.100555269845136,-0.202554536417394,-1.0865913488546,-1.60488904406642,-0.661434680202918,-0.332229327705866,1.8810744629237,-1.27889545110592,-1.24236168637759,0.648561740770106,-1.58200525736845,-1.06491197198284,1.59964403353293,1.09419337646733,-0.762605105604451,-0.608440647849735,0.716008691037794,1.6594630549013,1.30897979547456,-0.76380951543066,1.78833490630563,0.984190612340271,1.04762286318726,-1.23071905805758,-1.18414854477751,-0.191313378039446,1.72691000516899,0.916342192130513,-1.43787754816548,0.122234646716893,-0.337448436952771,0.686299915324646,0.566260402645843,2.28776351424018,-0.553439265786203,-0.0965664717110255,1.13273449090601,0.840062903137293,-0.141129635280749,0.486769354116068,0.289647612559906,-0.432195343281191,-1.06370756215663,0.189280127042512,-0.16802812139941
