"","TNZ_1_C","WS_2_C","WT_10_C","WT_11_C","WT_12_C","WT_13_C","WT_14_C","WT_15_C","WT_16_C","WT_17_C","WT_18_C","WT_19_C","WT_1_C","WT_21_C","WT_22_C","WT_23_C","WT_24_C","WT_25_C","WT_26_C","WT_27_C","WT_28_C","WT_29_C","WT_2_C","WT_30_C","WT_34_C","WT_35_C","WT_36_C","WT_38_C","WT_39_C","WT_40_C","WT_41_C","WT_42_C","WT_44_C","WT_45_C","WT_46_C","WT_47_C","WT_48_C","WT_49_C","WT_50_C","WT_51_C","WT_52_C","WT_55_C","WT_56_C","WT_57_C","WT_58_C","WT_59_C","WT_5_C","WT_61_C","WT_62_C","WT_63_C","WT_64_C","WT_65_C","WT_66_C","WT_68_C","WT_69_C","WT_71_C","WT_73_C","WT_74_C","WT_76_C","WT_77_C","WT_78_C","WT_9_C"
"AT1G01120",0.528904766303926,1.01644693733254,-1.20679988731145,0.041816968221286,0.290358969668305,-1.01914386062476,-0.341673798179599,-0.971434701297639,0.193123159230166,-0.69154096657851,-0.491162497404588,1.64938845107239,-0.429367776752313,-0.637016213061797,-0.474350698403601,1.85703688738187,1.24454215621079,0.933296688219551,1.15457631290821,1.35995288448783,2.68263253021411,0.508912356681131,-0.110397968679539,-0.088588067272854,2.02379175855382,-0.90555062413161,1.85703688738187,-0.782869928719005,-0.786959285232759,1.99607500884949,0.603421929443435,0.165406409525836,0.419855259270499,-0.296236503582337,-0.121757292328855,0.552077786548529,0.649313596986668,-1.25450904663858,-1.42489890137831,-0.106762985111758,-0.436183370941902,1.01508381849462,-1.22179419452855,-0.390291703398668,-1.26359650555803,-1.09865912616997,-0.438000862725793,-1.22906416166411,0.812433484590836,-0.996425213326133,-0.660643606252373,0.205845601717399,0.239014826773399,-0.515698636487109,-1.30539881658751,0.104974807711479,-0.176282045845568,-1.30494444364154,-0.990518365028489,-1.22043107569063,0.819703451726398,0.463929435029843
"AT1G01140",-0.0231127335351371,-0.606315216605054,0.128551182973661,-0.131779147940926,-0.508593620916395,0.522564656790335,-1.48893666886502,-0.388200615027967,-1.32945502470113,-1.24502356602613,-0.507030075385376,-1.04488973805576,-1.38496089105229,0.372464285812555,-1.12384878737219,-0.816612090527048,-0.529701485585145,-0.231846061926113,-1.15746501628909,-0.711072767183296,0.58197938696904,-0.034057552252267,-1.18795415414395,-0.214647061084908,-1.18795415414395,1.46460083922901,0.107443318304911,0.153567911469958,-0.0598560535140728,1.08856813901905,1.98057086446513,1.9195925887554,-1.48971844163053,-0.330349430380281,-0.863518456457604,0.277869781185933,0.530382384445427,1.21677887256257,2.28311692471722,-0.836938182430289,1.36687924354035,-0.887753412188392,0.991628316095898,1.01117263523363,0.413116469619037,0.0855536808706517,-0.324877021021716,-0.33113120314579,0.621068025244503,1.31840933207877,-0.218555924912455,-0.141942193892546,-1.27942156770854,0.305231827978757,2.55830093817648,-0.181812604933519,-0.2560810176569,2.06109345931258,-0.22402833427102,0.783676760470432,0.255980143751673,-1.12072169631015
"AT1G01300",3.96458881265221,0.315371100724621,0.304536533385442,1.17197908097855,0.115608765408489,-0.0767048048619573,-0.0110202403681782,0.616030344386868,-0.511441819346558,0.558471705397475,-0.253443684582332,0.169104441645691,0.655305650991396,-1.29897943281321,0.0688846937582748,-0.122074555594774,0.016743338438471,0.261198264028721,0.137955060545548,0.192127897241448,1.41846548794489,0.931587118140488,-0.971233770803012,0.217859994672001,0.466377883014444,-0.159995541281904,1.35074944207502,-0.128846160181762,-1.02811524933371,1.84439941646641,1.70151855968097,-1.03962697713159,0.211765550543712,0.0363809917407348,-0.545977002740194,0.261198264028721,0.158947034765209,-1.37753004602226,-0.70036958732351,-0.390230097239481,-1.16083869923866,0.223277278341591,-0.684794896773439,-0.257506647334525,-1.81836150463515,-1.12562635538633,-0.185050478253758,-1.09447697428619,0.863871072270613,-1.50889917500982,-0.331994297791388,-0.0496183865140072,-0.298813435315149,0.739273547870042,-0.90148624355704,0.347197642283463,0.449448871546975,-1.42154547583768,-1.29153066776752,-1.67344916647362,1.75975435912906,0.889603169701165
"AT1G01430",0.667709093188611,0.617763002970321,0.455683043536463,1.28909721561026,-0.696994371893451,0.152089161817455,-0.0183151459861182,-0.304280995863379,-0.655862297596037,-0.614240555747464,0.415040636790209,0.306824107983917,0.011554574634623,-0.801293560290466,0.0286929389252119,0.152578829368614,1.38996873114916,0.908135860808019,-0.387034812009366,2.25423195894601,1.56771805222012,0.851824092424654,-0.434532564471856,2.04514391460082,-0.0427985235441028,0.565368574996235,1.82479351657896,-0.65096562208444,-0.695035701688813,1.87180160149029,2.49906573452586,0.0282032713740527,0.167268855903405,0.408185291073973,-0.368917112616458,1.09029218983942,-1.35461789310092,-1.26843640409681,-0.469788628155354,-0.150525384799235,-1.00989193708449,0.462538389252699,-1.32670684268482,0.323962472274506,-2.04211113492913,-1.0304579742332,-0.203409480324482,-1.40652265352385,-0.498189346122616,-0.554990782057141,-0.134366355610965,-0.41249752466967,-0.870336685003983,-0.124083337036612,-1.26353972858522,-0.466360955297237,0.944860927144996,-0.942807482575617,-1.32866551288945,-1.67535013911052,0.931150235712525,-0.0276188294581522
"AT1G01470",-0.57400322794445,-1.23334473673743,-0.0423129706377513,-0.168539542977981,-0.0947411632124741,-0.0209427834469676,-0.0351895749074901,-0.825316629308067,0.77602273085466,-0.955532303257242,-0.756362158639138,-0.685128201336525,-0.899115009073573,-0.955247367428032,0.618738153130491,1.1971578864277,-0.322974762410044,0.112977056281943,1.95394744881066,0.860933607959373,-0.0505761096848541,0.492226644961052,1.05155567770116,1.62114240029285,0.564315409751295,-0.398482757150813,0.309582778437154,0.919630388776726,-0.0377539973703842,3.39885703873685,0.161131211418509,-0.879739372687262,-0.570014126335504,1.4424876353779,0.312717072558469,0.274535671444269,-0.577137522065765,-0.605061233328389,0.166260056344297,0.874895463590685,-1.19744282225691,-0.184211013584555,-0.270261634006111,0.0585543129027476,-0.0272113716895975,-3.02559110247116,-0.585115725283658,-1.08745759218168,0.752088121200982,-0.841557971573062,-0.77687753834229,0.867487132031214,0.195323510923764,1.81803305827727,-0.360016420207403,-0.234074783696384,1.67129110623389,-1.05953388091906,-1.70348885493467,-0.732997420643881,-0.0121097727414436,0.3135718800461
"AT1G01540",-1.30968951478982,0.846979811853863,-0.234008887065618,0.37562308971269,1.06779557357766,-0.369364702545347,0.93137814385887,-0.0981222644663614,0.701007853983567,0.99242096260463,0.358637261887782,0.909084244838679,0.988439909208168,-1.40284616426704,0.597500465675539,0.57467575953582,0.706050521619086,0.511509712311946,0.55689372103162,1.14635502726785,1.42078230806401,0.54733919288011,0.770278183082016,0.922089019267124,1.25543589033093,-1.14540471129579,0.61023983654422,-1.40417318206586,-1.3579929626669,0.881216871063441,0.787264010906923,-1.34100713484199,0.786202396667867,0.406144499085569,0.125612936414838,0.340324416264054,-1.19078872001547,-1.58809784898243,-1.48379424999511,1.16652569780993,-1.42673248464582,0.805576856530652,-1.5135194486887,-0.0272595140093269,-1.51511187004729,-1.4461069445086,0.742145405747014,-1.35533892706925,0.321746167080562,-1.44663775162813,0.263357383932444,0.504343816198314,0.711623996374134,0.306618164174004,-1.60508367680734,0.561405581547611,1.0245347933361,-1.44398371603049,-1.36409724454147,-1.4357562056778,0.38836246058137,0.591396183800963
"AT1G01620",-1.01223644488589,-1.31444317498099,0.0402493875250956,0.0821511708999555,0.141182614145041,-0.221702641874971,-0.677812777573327,-1.94593467442758,1.0085363533432,-0.424030278265214,0.802716901671719,-0.237514635601333,-0.160233516263738,2.62287502949759,-0.993657352257412,0.394899230145961,0.306549715199913,-0.526676470872182,1.09128578717783,-0.369610666523651,-0.34055612805146,0.68261163265856,-0.0620673885459063,-0.740797219250003,-0.925665779234055,0.150472160459279,-0.607778822026982,0.734330028805203,0.45939898788808,0.242247607379372,-1.18116124452919,1.31001836705917,-0.996687984388298,-0.978108891759822,-0.4492635849202,-2.0421901862368,-0.838831580353449,-0.832375016248517,0.278154009799653,0.221889665456682,1.62553352520729,-0.773672989539398,0.191385694226241,-0.398401671767068,0.960507422399375,1.21389462186433,-1.01665062646783,0.754885620649474,-1.79229480205309,1.34473886994998,-0.871509700721264,-0.236789919222208,0.949768443326888,0.901344212539903,0.366635291360088,-0.143630922851058,0.724183999497454,1.1553243617696,1.58422469159717,2.53189018226381,-1.45398401961613,-0.307614474454872
"AT1G01630",4.68365108626347,0.277620409106525,-0.697249719027983,-0.667894386037938,-0.97373599486445,-0.726605052018028,-0.838564926677733,-0.629664184934624,-0.779171578535084,-1.01196619596776,-1.17922332579476,0.752767194247714,-0.297197971768304,0.526116716278067,-0.826959329914227,-0.640587099535571,0.0994403646785796,-0.185238097108598,-0.446705365368764,0.758228651548188,1.08181999660124,0.010009001383327,-0.577097658417567,-0.709537997954048,1.20265473937421,1.55560141741731,0.436685352982814,1.78703067052487,0.849708061331118,0.844246604030645,0.916610913261917,1.49416002278698,0.0154704586838008,-0.958716987288148,0.0106916835458865,-0.257602406339871,1.9269805138495,0.468088732460536,-0.115604516527562,-0.398234931827062,1.00945568736997,1.57403383580641,-0.544328914614727,-0.858362709391949,-0.588703255181073,0.528164762765744,-0.852901252091476,-0.306755522044132,-0.618058588171118,-0.820815190451194,0.0373162878856945,-0.752546974195276,-0.783950353672999,-0.740258695269211,0.00796095489564982,-0.776440849884847,-0.669942432525616,-0.0459709359465258,-0.321774529620434,-0.210497337123288,-0.172267136019974,-0.873381716968251
"AT1G01640",-1.16709834108546,-0.956654293823595,1.5577892363914,1.43442548454824,-0.180188326340175,0.861146873041793,-0.042311191927232,0.501940654439651,-0.659129951143032,0.701499664774175,-0.397889064886928,0.781323268907984,0.157247818407292,-0.379747336674699,1.00265235309718,-0.840547233265326,0.345921791814478,-0.209215091479742,-0.0531962288545695,-0.1584182524855,-0.328950497680457,-1.10541646516388,1.94965056577556,-2.33542563795303,-0.873202344047339,-0.865945652762448,-1.82382890236816,-1.03284955231496,-0.757095283489071,0.160876164049738,1.45256721276047,-0.198330054552405,1.35823022605688,0.937342131533157,0.610791023713028,0.171761200977076,-1.15984164980056,0.774066577623092,0.491055617512313,-0.426915830026495,-0.285410349971106,0.563622530361231,-0.771608666058855,-0.553907927512101,-1.3521439688502,-1.39568411655955,0.313266681032465,-1.70409349616745,0.237071422541102,1.66663960566478,0.451143815445409,0.650702825779932,0.697871319131729,1.51424908868205,-0.902229109186906,0.959112205387833,0.0229990296367944,-1.08001804566675,-1.38842742527465,0.0411407578490235,0.799464997120213,2.21814814331655
"AT1G01720",0.231642527677668,-0.947601434640672,1.15533231539438,-0.836758660114666,0.18699752127136,1.62333514117085,0.524144293787961,0.190076487230415,-0.339505657727168,-0.882943149500502,-0.0223721639444289,0.297840295797365,0.111562855274495,-0.313334447075194,-0.456506364171285,-0.167083564020048,-0.522704132290983,-0.293321168341332,0.889001759936063,-0.365676868379142,0.216247697882389,-0.912193326111531,-0.160925632101937,1.39703114318026,-0.494993438659482,0.721198115167527,0.885922793977008,0.836659338632117,-0.642783804694156,0.28706391494067,1.91737639026067,-0.351821521563391,-0.859850904807584,0.436393763954873,0.350182717101313,2.03745606266385,-1.25087958160766,0.687329489617913,2.32841834579461,-0.350282038583863,-0.361058419440558,-1.73735620313846,-1.21855043903758,0.494894117176932,-1.49719685833212,-1.65730308820302,-0.538098962086262,-1.10001024961393,1.04448954086838,-0.813666415421748,1.25693819204322,-0.879864183541446,-0.69050777705952,-0.333347725809056,1.10145041111091,-0.648941736612268,-0.730534334527244,-0.501151370577593,-0.107043727818461,-1.22624785393521,3.19360778028927,-0.190175808712966
