Genotype ,Days to flower ,Leaf no,weight
WT4,27,21,0.0136
WT4,27,19,0.0126
WT4,28,19,0.0138
WT4,30,25,0.0218
WT5,28,20,0.0141
WT5,29,23,0.0177
WT5,28,22,0.0162
WT5,29,18,0.0143
WT5,28,21,0.0162
WT5,28,21,0.0159
WT5,30,25,0.026
WT5,28,18,0.0142
WT5,27,21,0.0134
WT5,30,26,0.025
WT5,29,20,0.018
WT5,28,22,0.0175
WT5,27,20,0.0145
WT5,27,21,0.0134
WT5,29,22,0.0212
WT5,28,24,0.0163
WT5,30,23,0.0259
WT5,25,16,0.0126
WT5,28,26,0.0199
WT5,29,17,0.0126
WT21,19,9,0.0011
WT21,19,9,0.0025
WT21,19,9,0.0022
WT21,19,9,0.0016
WT21,19,10,0.002
WT21,19,10,0.0021
WT21,19,10,0.0018
WT21,19,10,0.0021
WT21,19,10,0.0025
WT21,19,10,0.0027
WT47,29,14,0.0141
WT47,31,19,0.0239
WT47,35,25,0.0342
WT47,29,16,0.0229
WT47,28,12,0.0215
WT47,32,23,0.0253
WT47,32,17,0.0225
WT47,35,24,0.0354
WT47,30,16,0.0163
WT47,29,15,0.0147
WT56,19,9,0.0019
WT56,19,8,0.0015
WT56,19,9,0.0031
WT56,24,12,0.005
WT56,19,10,0.003
WT56,19,10,0.0029
WT56,19,9,0.0023
WT56,19,10,0.0023
WT56,19,9,0.0026
WT56,19,9,0.0017
WT62,31,31,0.0367
WT62,32,26,0.0269
WT62,30,27,0.0215
WT62,31,28,0.0302
WT62,30,34,0.0408
WT62,29,22,0.0225
WT62,32,30,0.0332
WT62,27,17,0.0123
WT62,31,27,0.0326
WT62,31,33,0.03
WT57,22,12,0.0045
WT57,23,12,0.006
WT57,22,11,0.0058
WT57,21,11,NA
WT57,23,16,0.0086
WT57,22,14,0.0066
WT57,22,14,0.0068
WT57,22,13,0.0069
WT57,22,14,0.006
WT57,22,12,0.0055
WT57,22,13,0.006
WT57,23,13,0.0071
WT57,22,12,0.0056
WT57,23,12,0.0072
WT57,20,10,0.0032
WT57,24,14,0.0082
WT57,22,12,0.0054
WT57,23,12,0.062
WT57,23,14,0.0064
WT57,22,13,0.0056
WT58,27,16,0.0137
WT58,27,14,0.0155
WT58,28,13,0.0113
WT58,26,14,0.0105
WT58,27,17,0.0115
WT58,29,20,0.0211
WT58,25,14,0.0077
WT58,27,13,0.0084
WT58,26,14,0.0103
WT58,27,13,0.0113
WT58,28,19,0.016
WT58,26,14,0.099
WT58,26,14,0.0104
WT58,27,18,0.014
WT58,29,20,0.0213
WT58,28,13,0.0083
WT58,27,16,0.0165
WT58,29,17,0.0159
WT58,29,16,0.0138
WT58,28,15,0.0105
WT23,28,18,0.0144
WT23,27,17,0.0118
WT23,28,23,0.0187
WT23,28,21,0.0181
WT23,27,20,0.0172
WT23,24,14,0.0082
WT23,23,11,0.0046
WT23,22,12,0.0055
WT23,26,14,0.0094
WT23,26,15,0.0128
WT23,23,13,0.0065
WT23,27,15,0.0125
WT23,28,16,0.0128
WT23,23,12,0.0048
WT23,25,12,0.007
WT23,26,14,0.0082
WT23,25,12,0.0052
WT23,23,14,0.0067
WT23,26,12,0.0076
WT23,26,13,0.0084
WT25,30,24,0.0281
WT25,31,26,0.0241
WT25,32,18,0.024
WT25,31,28,0.0271
WT25,31,27,0.0302
WT25,31,26,0.0253
WT25,31,25,0.024
WT25,31,25,0.0261
WT25,31,24,0.0264
WT25,31,23,0.0218
WT25,33,29,0.0326
WT25,31,27,0.0262
WT25,30,25,0.0245
WT25,32,23,0.0248
WT25,32,29,0.0343
WT25,31,24,0.0202
WT25,32,24,0.0221
WT25,29,22,0.0235
WT25,33,28,0.0311
WT25,33,30,0.0303
